"Data Source","World Development Indicators",

"Last Updated Date","2016-11-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Antigua and Barbuda","ATG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11087.0174694648","11594.5750617968","11766.78311059","12415.4125099762","13141.2021346337","12516.6004050914","13236.8707325167","13732.7668301844","14108.1120666511","14554.4808304526","15312.5664983907","14907.0726348617","15372.5781886274","16426.9243062482","17593.8762368924","19067.0682963067","22040.9136607626","24503.8448722277","24723.1118920226","21671.3757490895","20151.3098656076","19987.9241389288","20956.336421157","21008.1469806563","22157.5816228727","22967.6920024722","",
"Australia","AUS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17362.3771306073","17815.7947370697","18210.8006376604","19164.9049784648","20088.1173707488","20981.0293792794","22048.0166395581","22990.7070882274","24216.7334319332","25268.5198066101","26373.9696831642","27398.6820277778","28685.30613792","29693.4185072851","31310.5019545347","32559.4592872484","34322.9183318446","36563.4682249116","37479.2891201982","40257.1686174765","39168.256719609","41763.118511715","42596.2941186879","45476.9765882814","45937.3000394504","45514.1758297674","",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19490.937244881","20625.8813298224","21301.9629722492","21743.6361793698","22652.459881176","23705.5420437344","24573.1818278842","25532.1517484631","26728.585924931","27752.7177491225","29566.2476733511","29856.6036414545","31261.5516292637","32202.4455590608","33800.7021063805","34691.2089614866","37626.1441765716","39234.3228786562","41151.585043147","40620.3921570465","41892.7758492156","44022.3952746168","45858.2468363681","47416.2846696348","47706.4882473346","47824.1877781361","",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5502.43398864152","5558.81841314857","4334.43366410288","3361.03549662053","2719.34022718708","2420.44486439699","2471.58587927039","2634.15863088586","2901.35167222536","3136.09389310516","3534.32914766215","3942.08488219485","4393.96719931842","4945.90791637216","5551.44884183019","7169.15043103855","9830.16260573868","12477.3846859443","13799.7861400733","14900.5086642522","15627.6056198817","15754.1523626148","16180.8871503048","17174.3108809494","17584.6853479395","17739.9547360618","",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","678.120563155809","717.017624177528","723.717333436355","680.30345504941","655.7380116408","606.024361082701","559.260074880577","552.203539722013","576.492764091992","569.624802822697","565.357932485972","574.868260833727","591.494015896095","576.478186437433","599.856098599595","603.265540637776","632.647435840208","656.867748897202","679.061455713683","683.468685414746","693.470003441916","712.670483388994","730.033565596062","750.705844935371","772.695122239984","736.011833882262","",
"Belgium","BEL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19052.8751883483","19973.5706049598","20657.5787667951","20864.0066172883","21927.9381764186","22871.1590015667","23272.6243087044","24303.3899025989","24831.8389928821","25922.8249628198","28278.2982894566","29198.0206374408","30767.2997489343","31052.3778339369","31975.6041802021","33042.8992844792","35071.3754851982","36579.6181999703","37846.9555911544","37629.442841568","39257.834474162","40858.7251704577","41930.6618333441","43057.2035921556","43409.2408923283","43991.6228948018","",
"Benin","BEN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","941.071648800037","978.041057940764","992.446566410712","1036.02393659396","1041.32594980955","1089.85478724423","1122.00057366503","1171.55948926127","1196.35453198155","1242.71667628158","1305.03460249102","1361.7284916555","1400.04975629391","1428.79277939876","1483.35774276786","1507.89116059976","1565.55691021423","1651.80866532324","1714.28020892631","1716.20726781722","1723.79692585274","1761.57433063086","1826.80893511019","1931.92951357882","2037.58620518812","2109.84595737265","",
"Burkina Faso","BFA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","530.785575624958","582.396119947261","581.194382952512","599.161803281114","603.279592506556","633.432512681593","696.509812768745","732.492312908537","772.580597093879","819.042153535281","829.052386357608","878.607247498761","904.627387486719","966.305661650036","1007.36826110149","1096.68886795956","1165.27426476321","1225.85088750705","1300.49806852766","1308.54604571826","1393.56272130626","1470.43518369954","1547.64937169723","1583.1618654762","1626.26691330168","1659.22024250273","",
"Bangladesh","BGD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","834.048208314477","871.079876567099","918.454868737846","963.303479112692","1000.28376306561","1050.6544995387","1094.56769345665","1138.93429865409","1185.98771677334","1235.14751519122","1304.44235793031","1375.75911356803","1424.31223331065","1495.5292207013","1591.40438931671","1724.42770760079","1871.00013546296","2031.77852150986","2171.6297284589","2273.16420141086","2401.71873977807","2579.33504808833","2764.78192830626","2942.81004477245","3134.15425175505","3332.80344516993","",
"Bulgaria","BGR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5402.66957109702","5161.90887523699","4948.48099062583","5031.19990310125","5249.4811307172","5536.85118897188","5275.57026532514","5404.80013649588","6120.06965254957","5778.96662388008","6344.33635930984","6895.36991224189","7760.33549061553","8386.67506348624","9155.58945816126","10123.9738365074","11440.9073256142","13319.2437193032","14934.774464064","14870.8054059912","15084.3221603393","15603.0516627461","16097.8343137084","16573.4703399668","17207.5953349321","17511.7641146935","",
"Bahrain","BHR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22879.1475071466","25588.1656752509","27222.9214920946","30697.4635995408","30505.9226668937","31529.0220445954","32494.6222197845","33048.3315999724","33861.905764483","34579.9931808618","35792.0454915789","36005.75473597","36288.4674115159","37374.8955736848","38724.4906070407","39770.7608248512","40220.9427436057","40979.8715755273","40843.8460598766","39343.225490129","39423.6512887923","39676.7170222452","40992.5567832413","43400.0224635821","45666.4894524738","46946.3351892261","",
